family	init-inferred-rf	init-true-rf	inferred-true-rf
PF07929	0.9259259259259259	0.6419753086419753	0.9382716049382716
PF22665	0.9512195121951219	0.3902439024390244	0.9512195121951219
PF00101	0.9420289855072463	0.3188405797101449	0.927536231884058
PF04324	0.9294117647058824	0.5705882352941176	0.9470588235294117
PF04572	0.9680851063829787	0.30851063829787234	0.9574468085106383
PF07654	0.921875	0.40625	0.90625
PF03717	0.9122807017543859	0.543859649122807	0.8947368421052632
PF14749	0.963302752293578	0.44954128440366975	0.944954128440367
PF08493	0.9015151515151515	0.5757575757575758	0.8939393939393939
PF02924	0.9538461538461539	0.4307692307692308	0.9384615384615385
PF18693	0.9746835443037974	0.7848101265822784	0.9620253164556962
PF09736	0.9833333333333333	0.4583333333333333	0.9833333333333333
PF20621	0.9466666666666667	0.48	0.9333333333333333
PF10106	0.8833333333333333	0.4	0.8666666666666667
PF23058	0.9397590361445783	0.6626506024096386	0.9397590361445783
PF20027	0.9342105263157895	0.7236842105263158	0.9342105263157895
PF11940	0.9583333333333334	0.5416666666666666	0.9583333333333334
PF02037	0.9305555555555556	0.7361111111111112	0.9444444444444444
PF15249	0.9807692307692307	0.5192307692307693	0.9807692307692307
PF01023	0.9795918367346939	0.5782312925170068	0.9523809523809523
PF10432	0.8461538461538461	0.49230769230769234	0.8615384615384616
PF07557	0.9508196721311475	0.7213114754098361	0.9180327868852459
PF21602	0.9433962264150944	0.5471698113207547	0.9245283018867925
PF23382	0.9038461538461539	0.3076923076923077	0.9038461538461539
PF24281	0.8860759493670886	0.4050632911392405	0.9113924050632911
PF02369	0.9306930693069307	0.5742574257425742	0.9405940594059405
PF23728	0.9125	0.4125	0.9
PF12848	0.9596774193548387	0.5564516129032258	0.9435483870967742
PF02731	0.9473684210526315	0.6140350877192983	0.9298245614035088
PF23608	0.926829268292683	0.524390243902439	0.8902439024390244
PF08153	0.9222222222222223	0.43333333333333335	0.9444444444444444
PF04064	0.9035087719298246	0.5263157894736842	0.9035087719298246
PF06715	0.9873417721518988	0.8607594936708861	0.9620253164556962
PF16738	0.9473684210526315	0.5614035087719298	0.9122807017543859
PF24918	0.9470198675496688	0.4900662251655629	0.9271523178807947
PF00234	0.9722222222222222	0.5722222222222222	0.9611111111111111
PF14361	0.9560439560439561	0.6043956043956044	0.9340659340659341
PF24238	0.9642857142857143	0.4642857142857143	0.9523809523809523
PF06794	0.9803921568627451	0.47058823529411764	0.9215686274509803
PF24425	0.9420289855072463	0.43478260869565216	0.9420289855072463
PF23953	0.9185185185185185	0.4740740740740741	0.9185185185185185
PF03725	0.9333333333333333	0.68	0.88
PF05594	0.9594594594594594	0.6756756756756757	0.9527027027027027
PF24583	0.9080459770114943	0.5977011494252874	0.896551724137931
PF09186	0.9574468085106383	0.648936170212766	0.925531914893617
PF00092	0.9274193548387096	0.5161290322580645	0.9112903225806451
PF07730	0.9483870967741935	0.6193548387096774	0.9483870967741935
PF01984	0.96045197740113	0.4180790960451977	0.9491525423728814
PF14814	0.8985507246376812	0.5072463768115942	0.8695652173913043
PF18413	0.9571428571428572	0.5428571428571428	0.9285714285714286
PF14217	0.9206349206349206	0.5873015873015873	0.8888888888888888
PF02613	0.9871794871794872	0.46153846153846156	0.9743589743589743
PF14737	0.9264705882352942	0.40441176470588236	0.9191176470588235
PF18902	0.9782608695652174	0.6956521739130435	0.9565217391304348
PF04089	0.9519230769230769	0.5	0.9519230769230769
PF04380	0.9795918367346939	0.5204081632653061	0.9693877551020408
PF20163	0.9516129032258065	0.5564516129032258	0.9516129032258065
PF11734	0.9583333333333334	0.6041666666666666	0.9583333333333334
PF10241	0.953125	0.375	0.90625
PF20710	0.9130434782608695	0.43478260869565216	0.9130434782608695
PF13004	0.9621621621621622	0.7405405405405405	0.972972972972973
