	family	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
575	PF00004	18334	0.0	0.5	0.5
576	PF00004	10146	0.0	0.0	0.0
577	PF00004	10148	0.5	1.0	1.0
578	PF00004	10151	0.0	0.5	0.5
579	PF00004	18344	0.0	0.0	0.0
580	PF00004	18345	0.0	0.5	0.5
581	PF00004	10161	0.0	1.0	1.0
582	PF00004	1970	0.0	0.0	0.0
583	PF00004	1971	0.0	0.5	0.5
584	PF00004	10162	0.0	0.5	0.5
585	PF00004	10168	0.0	0.0	0.0
586	PF00004	18361	0.0	0.5	0.5
587	PF00004	1981	0.0	1.0	1.0
588	PF00004	10174	0.0	0.0	0.0
589	PF00004	10177	0.0	0.0	0.0
590	PF00004	10178	1.0	1.0	0.0
591	PF00004	1987	0.0	0.5	0.5
592	PF00004	10182	0.0	1.0	1.0
593	PF00004	1991	0.0	0.5	0.5
594	PF00004	18379	0.0	0.5	0.5
595	PF00004	10189	0.0	1.0	1.0
596	PF00004	18382	0.0	0.0	0.0
597	PF00004	1999	0.0	0.0	0.0
598	PF00004	18385	0.5	0.5	0.0
599	PF00004	18396	0.0	0.5	0.5
600	PF00004	18397	0.0	1.0	1.0
601	PF00004	10210	0.0	0.5	0.5
602	PF00004	18411	0.0	0.5	0.5
603	PF00004	2028	0.0	0.0	0.0
604	PF00004	10223	0.0	0.5	0.5
605	PF00004	18417	0.0	1.0	1.0
606	PF00004	2034	0.0	0.0	0.0
607	PF00004	10226	0.0	0.0	0.0
608	PF00004	10231	0.0	0.0	0.0
609	PF00004	10234	0.0	0.0	0.0
610	PF00004	18428	0.0	0.0	0.0
611	PF00004	10239	0.0	0.0	0.0
612	PF00004	18432	0.0	0.5	0.5
613	PF00004	2049	0.0	0.0	0.0
614	PF00004	2050	0.0	0.0	0.0
615	PF00004	2051	0.5	0.5	0.0
616	PF00004	18436	0.0	0.5	0.5
617	PF00004	18438	0.0	1.0	1.0
618	PF00004	10249	0.0	0.5	0.5
619	PF00004	18441	0.0	0.5	0.5
620	PF00004	18445	0.0	0.5	0.5
621	PF00004	10254	0.5	0.5	1.0
622	PF00004	18447	0.0	0.0	0.0
623	PF00004	2065	0.0	0.5	0.5
624	PF00004	18450	0.0	0.0	0.0
625	PF00004	2072	0.0	0.0	0.0
626	PF00004	18459	0.0	0.0	0.0
627	PF00004	10268	0.0	0.5	0.5
628	PF00004	18461	0.0	0.0	0.5
629	PF00004	2080	0.5	1.0	1.0
630	PF00004	2083	0.0	0.5	0.5
