family	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
PF00004	17413	0.9375	0.9791666666666666	0.6041666666666666
PF00004	17425	0.8333333333333334	0.8333333333333334	0.5208333333333334
PF00004	17430	0.875	0.9166666666666666	0.6041666666666666
PF00004	17433	0.8541666666666666	0.875	0.4375
PF00004	17435	0.8333333333333334	0.875	0.5625
PF00004	1059	0.875	0.9166666666666666	0.5
PF00004	1060	0.8958333333333334	0.9375	0.4791666666666667
PF00004	1061	0.875	0.9166666666666666	0.4791666666666667
PF00004	1063	0.8541666666666666	0.875	0.4375
PF00004	17448	0.8541666666666666	0.875	0.5416666666666666
PF00004	17450	0.8333333333333334	0.8541666666666666	0.5416666666666666
PF00004	17451	0.875	0.8541666666666666	0.5
PF00004	17454	0.8333333333333334	0.8958333333333334	0.5625
PF00004	17457	0.8958333333333334	0.9583333333333334	0.5416666666666666
PF00004	9269	0.8541666666666666	0.875	0.5208333333333334
PF00004	17462	0.9583333333333334	1.0	0.5208333333333334
PF00004	1082	0.9166666666666666	0.9375	0.4375
PF00004	17483	0.7916666666666666	0.875	0.5625
PF00004	17485	0.9375	0.9375	0.5208333333333334
PF00004	9311	0.9166666666666666	0.9166666666666666	0.4791666666666667
PF00004	1121	0.9166666666666666	0.9375	0.5208333333333334
PF00004	17507	0.8541666666666666	0.8333333333333334	0.375
PF00004	1126	0.8958333333333334	0.9375	0.5625
PF00004	9324	0.9166666666666666	0.9375	0.4583333333333333
PF00004	1137	0.875	0.8541666666666666	0.4375
PF00004	9334	0.8541666666666666	0.9166666666666666	0.5625
PF00004	9338	0.8541666666666666	0.8958333333333334	0.5208333333333334
PF00004	9340	0.8958333333333334	0.9375	0.4791666666666667
PF00004	17533	0.9583333333333334	0.9791666666666666	0.4166666666666667
PF00004	1151	0.8125	0.8125	0.4375
PF00004	1155	0.8333333333333334	0.8541666666666666	0.5
PF00004	9349	0.875	0.875	0.6666666666666666
PF00004	1166	0.875	0.875	0.4583333333333333
PF00004	1168	0.8333333333333334	0.8958333333333334	0.5625
PF00004	1178	0.875	0.875	0.4375
PF00004	17564	0.8333333333333334	0.875	0.5416666666666666
PF00004	9375	0.8541666666666666	0.875	0.5208333333333334
PF00004	17569	0.9375	0.9791666666666666	0.5416666666666666
PF00004	17576	0.9166666666666666	0.9375	0.5416666666666666
PF00004	17583	0.8541666666666666	0.8333333333333334	0.4583333333333333
PF00004	17587	0.9166666666666666	0.8958333333333334	0.5
PF00004	17590	0.9166666666666666	0.8958333333333334	0.5833333333333334
PF00004	1215	0.875	0.875	0.5416666666666666
PF00004	1219	0.8541666666666666	0.8541666666666666	0.5625
PF00004	17603	0.9375	0.9791666666666666	0.5625
PF00004	1230	0.9375	0.9583333333333334	0.625
PF00004	1240	0.875	0.875	0.6458333333333334
PF00004	1241	0.8333333333333334	0.8125	0.5416666666666666
PF00004	17626	0.875	0.9166666666666666	0.4791666666666667
PF00004	9436	0.9583333333333334	0.9375	0.4375
PF00004	9440	0.8125	0.8958333333333334	0.6041666666666666
PF00004	1249	0.8541666666666666	0.8958333333333334	0.6041666666666666
PF00004	17634	0.8125	0.875	0.5833333333333334
PF00004	1253	0.875	0.8958333333333334	0.5416666666666666
PF00004	9447	0.8958333333333334	0.9583333333333334	0.4791666666666667
PF00004	17641	0.9166666666666666	0.9166666666666666	0.4791666666666667
PF00004	17650	0.8958333333333334	0.8958333333333334	0.6458333333333334
PF00004	17651	0.9375	0.9375	0.5416666666666666
PF00004	1268	0.8958333333333334	0.9166666666666666	0.5416666666666666
PF00004	9462	0.875	0.8958333333333334	0.5208333333333334
